name,type,chunkId
GOWEI工厂仓库,location,800bf25eebb104c17d8007555cdc359e
照片,concept,800bf25eebb104c17d8007555cdc359e
电动三轮车,technology,800bf25eebb104c17d8007555cdc359e
三轮车,technology,800bf25eebb104c17d8007555cdc359e
品牌,organization,800bf25eebb104c17d8007555cdc359e
品牌标识,concept,800bf25eebb104c17d8007555cdc359e
产品,concept,800bf25eebb104c17d8007555cdc359e
全新的,concept,800bf25eebb104c17d8007555cdc359e
鲜艳的,concept,800bf25eebb104c17d8007555cdc359e
蓝色,concept,800bf25eebb104c17d8007555cdc359e
绿色,concept,800bf25eebb104c17d8007555cdc359e
三轜车的尾部,concept,800bf25eebb104c17d8007555cdc359e
GOWEI,organization,800bf25eebb104c17d8007555cdc359e
GOWEI 电动三轮车工厂仓库,location,800bf25eebb104c17d8007555cdc359e
图片,technology,3a8a00ee2de304f385b2b60a48f2fb47
GOWEI电动三轮车,technology,3a8a00ee2de304f385b2b60a48f2fb47
工作人员,person,3a8a00ee2de304f385b2b60a48f2fb47
忙碌的场景,concept,3a8a00ee2de304f385b2b60a48f2fb47
车间,location,3a8a00ee2de304f385b2b60a48f2fb47
设施,technology,3a8a00ee2de304f385b2b60a48f2fb47
管道,technology,3a8a00ee2de304f385b2b60a48f2fb47
电线,technology,3a8a00ee2de304f385b2b60a48f2fb47
工业风扇,technology,3a8a00ee2de304f385b2b60a48f2fb47
传送带,technology,3a8a00ee2de304f385b2b60a48f2fb47
电动三轮车,technology,3a8a00ee2de304f385b2b60a48f2fb47
高效组织性,concept,3a8a00ee2de304f385b2b60a48f2fb47
运作流程,concept,3a8a00ee2de304f385b2b60a48f2fb47
GOWEI 电动三轮车生产车间,location,3a8a00ee2de304f385b2b60a48f2fb47
男士,person,fd1a96afe5e60aeadb0dc960055d5890
蓝色的GOWEI电动三轮车,technology,fd1a96afe5e60aeadb0dc960055d5890
砾石和泥土混合的道路,location,fd1a96afe5e60aeadb0dc960055d5890
乡村环境,location,fd1a96afe5e60aeadb0dc960055d5890
