name,type,chunkId,source
Vespa电动车,产品,8070d5190731be45f8dd286c2cddf1a3,GOWEI
颜色选项,其他,8070d5190731be45f8dd286c2cddf1a3,GOWEI
设计,其他,8070d5190731be45f8dd286c2cddf1a3,GOWEI
后轮220mm碟刹片,产品,8bd7308a61a94862fc4abf1264ce35f3,GOWEI
金色的卡钳,产品,8bd7308a61a94862fc4abf1264ce35f3,GOWEI
时尚的配色,其他,8bd7308a61a94862fc4abf1264ce35f3,GOWEI
设计,其他,8bd7308a61a94862fc4abf1264ce35f3,GOWEI
GOWEI CP900电动两轮车,产品,8bd7308a61a94862fc4abf1264ce35f3,GOWEI
电动车,产品,863473d655764d5b0c21bc417afcd70f,GOWEI
尾灯,其他,863473d655764d5b0c21bc417afcd70f,GOWEI
牌照部分,其他,863473d655764d5b0c21bc417afcd70f,GOWEI
夜间安全性能,其他,863473d655764d5b0c21bc417afcd70f,GOWEI
GOWEI 外卖车,产品,863473d655764d5b0c21bc417afcd70f,GOWEI
测评,其他,863473d655764d5b0c21bc417afcd70f,GOWEI
大型的仓库,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
包装好的电动滑板车,产品,3ffda3b3fc53ea492fbd143960f14182,GOWEI
红色的消防喷淋管道,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
仓库的墙壁,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
窗户,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
自然光,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
打包仓库,其他,3ffda3b3fc53ea492fbd143960f14182,GOWEI
电动车,产品,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
数字化仪表盘,科技,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
速度,其他,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
电量,其他,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
现代化技术,科技,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
Vespa电动车,产品,0ee1b4eda1c0672b1465cbf2b7059013,GOWEI
穿着头盔和骑行装备的人,其他,1e16e82780d67bb1aac8f46f0272069d,GOWEI
电动车,产品,1e16e82780d67bb1aac8f46f0272069d,GOWEI
绿色的巷道,其他,1e16e82780d67bb1aac8f46f0272069d,GOWEI
电动车的实用场景,其他,1e16e82780d67bb1aac8f46f0272069d,GOWEI
操作者的安全措施,其他,1e16e82780d67bb1aac8f46f0272069d,GOWEI
GOWEI CP900电动两轮车,产品,1e16e82780d67bb1aac8f46f0272069d,GOWEI
操作人员,其他,dcab1a590557fd0edd08d0fd60af368d,GOWEI
叉车,产品,dcab1a590557fd0edd08d0fd60af368d,GOWEI
货物箱,产品,dcab1a590557fd0edd08d0fd60af368d,GOWEI
标签'FORTE',其他,dcab1a590557fd0edd08d0fd60af368d,GOWEI
卡车,产品,dcab1a590557fd0edd08d0fd60af368d,GOWEI
工作服,其他,dcab1a590557fd0edd08d0fd60af368d,GOWEI
橙色,其他,dcab1a590557fd0edd08d0fd60af368d,GOWEI
外卖员,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
黄色外套,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
绿树成荫的路,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
车辆,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
公园,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
GOWEI 外卖车,产品,2d20f933b0a93c019696ee94c942ef29,GOWEI
测评,其他,2d20f933b0a93c019696ee94c942ef29,GOWEI
电动车,产品,027541f46814d0a7e009632306d9906f,GOWEI
前灯设计,其他,027541f46814d0a7e009632306d9906f,GOWEI
灯具设计,其他,027541f46814d0a7e009632306d9906f,GOWEI
照明性能,其他,027541f46814d0a7e009632306d9906f,GOWEI
GOWEI CP900电动两轮车,产品,027541f46814d0a7e009632306d9906f,GOWEI
视频,其他,feb1d54cd2be2cd946252c81b1b2f064,GOWEI
