start_timecode,end_timecode,scene_description,summary,id,attachment_url,file_width,file_height
00:00.0,00:15.0,这是GOWEI工厂仓库内的一张照片，显示了排列整齐的一系列电动三轮车。这些三轮车都涂有鲜艳的蓝色和绿色，看起来是全新的，待发货。每辆三轜车的尾部都带有品牌标识“GOWEI”，显然是该品牌的产品。整个场景给人一种干净、有序的印象。,GOWEI 电动三轮车工厂仓库,800bf25eebb104c17d8007555cdc359e,17171322288115886/origin_source/IMG_4270_origin.mp4,540,960
00:00.0,00:08.5,这张图片描绘了GOWEI电动三轮车的生产车间。图中显示了一些工作人员在车间内忙碌的场景。车间内部设施齐全，顶部布满了管道和电线，以及明显的工业风扇。地面上有蓝色的传送带，上面停放着几辆已经组装好的电动三轮车。整个车间布局整洁且条例明确，显示出该工厂的高效组织性和运作流程。,GOWEI 电动三轮车生产车间,3a8a00ee2de304f385b2b60a48f2fb47,17171322288115886/origin_source/IMG_2660_origin.mp4,540,960
00:00.0,00:09.5,图中展示了一位男士正在试驾一辆蓝色的GOWEI电动三轮车。三轮车位于一条由砾石和泥土混合的道路上，环境看起来较为乡村，后方停放着多辆车辆和一些存放杂物的棚子。此外，图中还可见一只狗的后半身，看似在跟随三轮车行驶。整个场景给人一种户外活动和测试新技术的即视感。,美国当地客户试驾GOWEI电动三轮车,fd1a96afe5e60aeadb0dc960055d5890,17171322288115886/origin_source/IMG_5697_origin.mp4,720,1280
00:00.0,00:28.8,在这张图像中，一位男士正在试驾一辆蓝色的GOWEI电动三轮车。三轮车装载着一些货物，背景为多云的天空和一些低矮的建筑。男士透过方向盘专注地望向前方，准备驾驶这辆实用的电动车。整体场景显示了电动三轮车在户外的使用情境。,美国当地客户试驾GOWEI电动三轮车,e0b737cd57672e91bdfa501edd0d3905,17171322288115886/origin_source/IMG_5698_origin.mp4,720,1280
00:00.0,00:07.3,一位使用者驾驶三轮车在农场上运送物品，背景有房屋和围栏，天气晴朗。,美国用户评价GOWEI电动三轮车,959c9383f86c4f93d8adec6fedd04f26,17171322288115886/origin_source/IMG_5699_origin.mp4,1280,720
00:00.0,00:03.1,这一场景显示了电动三轮车的正面视图，着重展示了灯光系统和前面板上的品牌标识。三轮车呈现鲜艳的蓝色，头灯设计显得现代且功能性强。,GOWEI EEC状态电动三轮车,8e692815e0bdff9e15e4c4b73ccf6bb0,17171322288115886/origin_source/1718181337_5Aaz3XBcbNkkndnb.mp4,720,1280
00:00.0,00:06.7,送外卖员穿着工作服坐在外卖电动车上，背靠湖面和建筑。,GOWEI 外卖车测评,f805cf43bc64ca8fcc07d5ed3ecb0005,17171322288115886/origin_source/1718246949_6mnP5zpwTXRzMWGj.mp4,1920,1080
00:00.0,00:02.4,公司外景展示现代化工业建筑，强调企业规模和形象。,这是一个有关电动车烤漆工艺流程的视频,2756d024691493f85927f6cc2de4a930,17171322288115886/origin_source/1718342368_F2EPzniFeBPKWRf5.mp4,1920,1080
00:00.0,00:03.4,电动三轮车在一条典型的乡村道路上行驶，道路两侧草丛茂密，天气晴朗，路面平坦。,GOWEI 休闲电动三轮车测评,766cac2273a287623b5aadfec3813a5f,17171322288115886/origin_source/1719558812_DwBHhbRG7eyh5Ghd.mp4,720,1280
00:00.0,00:11.6,这张图片显示了一个装货场景，一台红色叉车正在向一辆开着货箱的卡车装载货物。货物包括几个排列整齐的箱子。卡车停放在一个似乎是物流或工业区域的平坦广场上，场景中还可见其他卡车和集装箱。这个场景典型地体现了货运、物流操作。,GOWEI 装柜,0bc9be1ff0c3c6ba26c2149ced85ce7d,17171322288115886/origin_source/1718256971_JM7bpYeieExsirPj.mp4,1280,720
00:00.0,00:02.0,一位工人操作叉车，把货物装载到卡车上。,GOWEI 装柜,83001830ec8d6bc0b79e3e6abe484e33,17171322288115886/origin_source/1718256766_WinMGTSTxFxHWKam.mp4,720,720
00:00.0,00:01.0,远景中展示了一排存放着大量蓝色集装箱的仓库区域，背景模糊。,GOWEI 装柜,1fbd9a836fd91108df4a9264fb4148ce,17171322288115886/origin_source/1718256987_yzwyJ6SKJbAanFQp.mp4,720,720
00:00.0,00:01.0,显示了三轮车的仪表盘，具有明晰的速度、电量显示和一些基本的功能指示，例如“驾驶”模式。,GOWEI休闲电动三轮车介绍,da491b1ad45ed3e1501ba363616561d1,17171322288115886/origin_source/1719561649_pSmmz52NGW2hdRzt.mp4,1280,720
00:00.0,00:09.9,一名男性工人正站在一台大型机器旁，似乎在进行组装或维修工作。机器的颜色为蓝色，周围散落着各种工具和零件，营造出一种忙碌而有序的工作环境。车间内部光线充足，顶部装有多个大型吊扇，保持空气流通。,GOWEI电动三轮车生产流水线,79a817dab672099be62b350576d1477f,17171322288115886/origin_source/IMG_3221_origin.mp4,540,960
00:00.0,00:18.0,图像显示了一辆红色的GOWEI品牌电动三轮车的驾驶区部分。可以看到三轮车的方向手柄，其中包括一个黑色的握把和一个中央的数字仪表显示屏。屏幕上没有显示信息。背景中可以隐约看到部分车身和车后的黑色货架。图像底部的文字介绍了这款三轮车，指出它适合老年人和女性使用，外观好看，质量和性能都很高。,GOWEI3.0-8真空轮胎休闲电动三轮车介绍,3061a8996ab34025775c4e86a7c64c50,17171322288115886/origin_source/1719561016_bbEjANpJrDz7HeYt.mp4,1440,1080
00:00.0,00:25.7,这张图片展示了几款不同颜色的电动三轮车停放在一个室内场所，可能是一个展示厅。最前方的三轮车为浅蓝色，配备了全封闭的驾驶舱。红色和白色的三轮车则拥有开放式的座位设计，看起来更为休闲。这些电动三轮车看似专为便捷的城市或休闲出行设计。背景中还有一些植物，增添了一些自然的氛围。整体场景展现了这些电动三轮车的多样性和适用性。,GOWEI60v20ah铅酸电池休闲电动三轮车介绍,5d01d2ce29f51161afca37bb46717824,17171322288115886/origin_source/1719561016_7EpAXDpA7iFmyHcz.mp4,1280,720
00:00.0,00:03.9,女主持人介绍电动车的环境下，散发自信与专业的氛围。,GOWEI CP900电动两轮车,c88765ddcf54a81fa42a015b865ce021,17171322288115886/origin_source/1718246241_HGRMSQmP7bcQtE3T.mp4,1080,1920
